Unnamed: 0,Year,Event,Gender,Comp Rank,Athlete Name,Nationality,Group,Body Weight (kg),Snatch 1 (kg),Snatch 2 (kg),Snatch 3 (kg),Max Snatch,Snatch Rank,C/J 1 (kg),C/J 2 (kg),C/J 3 (kg),Max C/J,C/J Rank,Total
0,1980,oly,M,1.0,Leonid Taranenko,URS,A,109.9,-182.5,182.5,-190.0,182.5,2,220.0,235.0,240.0,240.0,1,422.5
1,1980,oly,M,2.0,Valentin Khristov,BUL,A,109.55,177.5,182.5,185.0,185.0,1,220.0,-235.0,-235.0,220.0,2,405.0
2,1980,oly,M,3.0,GyÃ¶rgy Szalai,HUN,A,108.1,-167.5,167.5,172.5,172.5,3,212.5,217.5,-225.0,217.5,3,390.0
3,1980,oly,M,4.0,Leif Nilsson,SWE,A,108.7,-167.5,167.5,-172.5,167.5,5,-212.5,212.5,-225.0,212.5,4,380.0
4,1980,oly,M,5.0,Vinzenz HÃ¶rtnagl,AUT,A,108.5,165.0,170.0,-172.5,170.0,4,202.5,-210.0,-210.0,202.5,5,372.5
5,1980,oly,M,6.0,Åžtefan TaÅŸnadi,ROU,A,108.45,165.0,-170.0,-170.0,165.0,6,195.0,-207.5,-207.5,195.0,6,360.0
6,1980,oly,M,7.0,Donald Mitchell,AUS,A,109.1,157.5,162.5,-167.5,162.5,7,185.0,-190.0,190.0,190.0,9,352.5
7,1980,oly,M,8.0,Dimitrios Zarzavatsidis,GRE,A,109.2,150.0,155.0,-160.0,155.0,8,192.5,-200.0,-200.0,192.5,7,347.5
8,1980,oly,M,9.0,Viktor SirkiÃ¤,FIN,A,109.5,150.0,-155.0,-155.0,150.0,9,-192.5,-192.5,192.5,192.5,7,342.5
9,1980,oly,M,10.0,Andy Drzewiecki,GBR,A,107.05,-140.0,140.0,-145.0,140.0,10,175.0,180.0,-185.0,180.0,10,320.0
10,1980,oly,M,11.0,Ali Abdul Kader Maneer,IRQ,A,101.9,135.0,-145.0,-145.0,135.0,11,160.0,165.0,0.0,165.0,11,300.0
11,1980,oly,M,12.0,Mario RodrÃ­guez,DOM,A,106.05,117.5,125.0,-135.0,125.0,12,155.0,162.5,-170.0,162.5,12,287.5
12,1980,oly,M,0.0,Pavel Khek,TCH,A,108.9,-175.0,-175.0,-177.5,-175.0,13,0.0,0.0,0.0,0.0,13,0.0
0,1980,oly,M,1.0,Kanybek Osmonaliyev,URS,A,51.7,102.5,107.5,-110.0,107.5,4,132.5,137.5,-142.5,137.5,1,245.0
1,1980,oly,M,2.0,Ho Bong-chol,PRK,A,51.9,105.0,110.0,-113.0,110.0,1,135.0,-140.0,-140.0,135.0,2,245.0
2,1980,oly,M,3.0,Han Gyong-si,PRK,A,52.0,105.0,110.0,-113.0,110.0,1,135.0,-140.0,-140.0,135.0,2,245.0
3,1980,oly,M,4.0,BÃ©la OlÃ¡h,HUN,A,52.1,102.5,107.5,110.0,110.0,1,130.0,-135.0,135.0,135.0,2,245.0
4,1980,oly,M,5.0,Stefan Leletko,POL,A,51.7,100.0,105.0,-107.5,105.0,6,130.0,135.0,-140.0,135.0,2,240.0
5,1980,oly,M,6.0,Ferenc HornyÃ¡k,HUN,A,52.0,102.5,107.5,-110.0,107.5,4,-130.0,130.0,-135.0,130.0,6,237.5
6,1980,oly,M,7.0,Francisco Casamayor,CUB,A,51.45,97.5,102.5,-105.0,102.5,7,-127.5,-127.5,130.0,130.0,6,232.5
7,1980,oly,M,8.0,Adyaagiin JÃ¼gdernamjil,MGL,A,51.65,90.0,95.0,97.5,97.5,8,117.5,-122.5,-122.5,117.5,9,215.0
8,1980,oly,M,9.0,Gaetano Tosto,ITA,A,51.95,90.0,95.0,-97.5,95.0,9,112.5,117.5,120.0,120.0,8,215.0
9,1980,oly,M,10.0,Ioannis Katsaidonis,GRE,A,51.7,90.0,-95.0,95.0,95.0,9,112.5,-117.5,-117.5,112.5,12,207.5
10,1980,oly,M,11.0,Humberto Fuentes,VEN,A,52.0,-90.0,-90.0,90.0,90.0,11,117.5,-127.5,-127.5,117.5,9,207.5
11,1980,oly,M,12.0,Giuseppe Chiapparo,BEL,A,51.65,-85.0,85.0,90.0,90.0,11,110.0,-115.0,-115.0,110.0,13,200.0
12,1980,oly,M,13.0,RaÃºl Diniz,POR,A,51.6,82.5,-87.5,-87.5,82.5,17,115.0,-120.0,-122.5,115.0,11,197.5
13,1980,oly,M,14.0,Imade Kadro,SYR,A,51.45,77.5,85.0,-87.5,85.0,15,105.0,-110.0,-110.0,105.0,15,190.0
14,1980,oly,M,15.0,Almabruk Mahmud Mahmud,LBA,A,51.95,-85.0,85.0,-87.5,85.0,15,-105.0,-105.0,105.0,105.0,15,190.0
15,1980,oly,M,16.0,Durval de Moraes,BRA,A,51.25,80.0,-85.0,-85.0,80.0,18,107.5,-112.5,-112.5,107.5,14,187.5
16,1980,oly,M,0.0,Karunagaran Ekambaram,IND,A,51.9,90.0,-95.0,0.0,90.0,11,0.0,0.0,0.0,0.0,17,0.0
17,1980,oly,M,0.0,Dorjiin Enkhbaatar,MGL,A,51.65,90.0,-95.0,-95.0,90.0,11,-120.0,-120.0,-120.0,-120.0,18,0.0
0,1980,oly,M,1.0,Daniel NÃºÃ±ez,CUB,A,55.6,117.5,122.5,125.0,125.0,1,145.0,150.0,-152.5,150.0,2,275.0
1,1980,oly,M,2.0,Yurik Sarkisyan,URS,A,55.8,-112.5,112.5,-117.5,112.5,5,150.0,155.0,157.5,157.5,1,270.0
2,1980,oly,M,3.0,Tadeusz DemboÅ„czyk,POL,A,55.6,115.0,120.0,-122.5,120.0,2,140.0,-145.0,145.0,145.0,5,265.0
3,1980,oly,M,4.0,Andreas Letz,GDR,A,55.6,110.0,-115.0,115.0,115.0,3,145.0,150.0,-152.5,150.0,2,265.0
4,1980,oly,M,5.0,Yang Eui Yong,PRK,A,55.75,107.5,112.5,-115.0,112.5,5,145.0,-150.0,150.0,150.0,2,262.5
5,1980,oly,M,6.0,Imre Stefanovics,HUN,A,55.15,110.0,-115.0,115.0,115.0,3,145.0,-150.0,-150.0,145.0,5,260.0
6,1980,oly,M,7.0,Gheorghe Maftei,ROU,A,55.4,105.0,-110.0,-110.0,105.0,8,142.5,-147.5,-147.5,142.5,7,247.5
7,1980,oly,M,8.0,Petre Pavel,ROU,A,55.4,-105.0,-105.0,105.0,105.0,8,140.0,-145.0,-145.0,140.0,8,245.0
8,1980,oly,M,9.0,Choe Jong Sop,PRK,A,55.7,100.0,105.0,-110.0,105.0,8,132.5,137.5,-142.5,137.5,10,242.5
9,1980,oly,M,10.0,Ioannis Sidiropoulos,GRE,A,55.95,-102.5,102.5,-107.5,102.5,15,132.5,137.5,140.0,140.0,8,242.5
10,1980,oly,M,11.0,Ahmed Tarbi,ALG,A,55.55,100.0,105.0,-107.5,105.0,8,127.5,132.5,135.0,135.0,11,240.0
11,1980,oly,M,12.0,Abdul Karim Gizar,IRQ,A,55.85,100.0,105.0,-107.5,105.0,8,127.5,132.5,135.0,135.0,11,240.0
12,1980,oly,M,13.0,Arvo Ojalehto,FIN,A,55.95,-105.0,-105.0,105.0,105.0,8,132.5,-137.5,-137.5,132.5,13,237.5
13,1980,oly,M,14.0,Johnny Helsing,SWE,A,55.85,-95.0,95.0,100.0,100.0,16,132.5,-137.5,-137.5,132.5,13,232.5
14,1980,oly,M,15.0,Pertti Torikka,SWE,A,55.7,100.0,-105.0,-105.0,100.0,16,130.0,-135.0,-135.0,130.0,15,230.0
15,1980,oly,M,16.0,Lorenzo Orsini,AUS,A,55.15,90.0,-95.0,95.0,95.0,19,120.0,-125.0,125.0,125.0,16,220.0
16,1980,oly,M,17.0,Ali Shalabi,LBA,A,55.95,85.0,90.0,95.0,95.0,19,115.0,120.0,-125.0,120.0,17,215.0
17,1980,oly,M,18.0,Ashok Kumar Karki,NEP,A,55.4,60.0,65.0,-67.5,65.0,21,-80.0,-80.0,80.0,80.0,18,145.0
18,1980,oly,M,0.0,GyÃ¶rgy KÅ‘szegi,HUN,A,55.55,110.0,-115.0,-115.0,110.0,7,-142.5,-142.5,-142.5,-142.5,21,0.0
19,1980,oly,M,0.0,Bruno Lebrun,FRA,A,56.0,105.0,-110.0,-110.0,105.0,8,-132.5,-132.5,-132.5,-132.5,20,0.0
20,1980,oly,M,0.0,Tamil Selwan Muniswamy,IND,A,56.0,-100.0,-100.0,100.0,100.0,16,-115.0,-115.0,-115.0,-115.0,19,0.0
0,1980,oly,M,1.0,Viktor Mazin,URS,A,59.65,122.5,127.5,130.0,130.0,1,155.0,160.0,-162.5,160.0,1,290.0
1,1980,oly,M,2.0,Stefan Dimitrov,BUL,A,59.4,122.5,127.5,-130.0,127.5,2,-152.5,152.5,160.0,160.0,1,287.5
2,1980,oly,M,3.0,Marek Seweryn,POL,A,59.55,122.5,127.5,-130.0,127.5,2,155.0,-162.5,-162.5,155.0,3,282.5
3,1980,oly,M,4.0,Antoni Pawlak,POL,A,59.65,-120.0,120.0,-125.0,120.0,6,150.0,155.0,-162.5,155.0,3,275.0
4,1980,oly,M,5.0,Julio Loscos,CUB,A,59.7,120.0,125.0,-127.5,125.0,4,-150.0,150.0,-157.5,150.0,6,275.0
5,1980,oly,M,6.0,FrantiÅ¡ek NedvÄ›d,TCH,A,59.7,117.5,-122.5,122.5,122.5,5,-147.5,147.5,150.0,150.0,6,272.5
6,1980,oly,M,7.0,VÃ­ctor PÃ©rez,CUB,A,59.4,117.5,-122.5,-122.5,117.5,7,147.5,152.5,-157.5,152.5,5,270.0
7,1980,oly,M,8.0,Gelu Radu,ROU,A,60.0,115.0,-120.0,-120.0,115.0,8,-150.0,150.0,-157.5,150.0,6,265.0
8,1980,oly,M,9.0,Jean-Claude Chavigny,FRA,A,59.6,110.0,-115.0,115.0,115.0,8,140.0,-150.0,-150.0,140.0,9,255.0
9,1980,oly,M,10.0,Fajsal Matloub Fathi,IRQ,A,60.0,105.0,112.5,115.0,115.0,8,132.5,137.5,-140.0,137.5,11,252.5
10,1980,oly,M,11.0,Mohamed Gouni,ALG,A,59.65,107.5,-112.5,-112.5,107.5,12,132.5,137.5,140.0,140.0,9,247.5
11,1980,oly,M,12.0,Geoffrey Laws,GBR,A,60.0,105.0,110.0,-112.5,110.0,11,-135.0,135.0,-140.0,135.0,12,245.0
12,1980,oly,M,13.0,Faouaz Nadirin,SYR,A,59.9,97.5,102.5,-105.0,102.5,13,122.5,127.5,-130.0,127.5,13,230.0
13,1980,oly,M,14.0,Sydney Ikebaku,NGR,A,59.65,90.0,97.5,-102.5,97.5,15,115.0,120.0,125.0,125.0,14,222.5
14,1980,oly,M,15.0,Rajendra Pradhan,NEP,A,59.2,62.5,67.5,-70.0,67.5,16,80.0,85.0,-90.0,85.0,15,152.5
15,1980,oly,M,0.0,Paulo Batista de Sene,BRA,A,59.65,100.0,-105.0,-105.0,100.0,14,-135.0,-135.0,-135.0,-135.0,18,0.0
16,1980,oly,M,0.0,Constantin Chiru,ROU,A,59.6,-120.0,-120.0,-120.0,-120.0,18,0.0,0.0,0.0,0.0,16,0.0
17,1980,oly,M,0.0,Jeffrey Bryce,GBR,A,56.0,-105.0,-105.0,-105.0,-105.0,17,0.0,0.0,0.0,0.0,16,0.0
0,1980,oly,M,1.0,Yanko Rusev,BUL,A,66.9,142.5,147.5,-150.0,147.5,1,185.0,190.0,195.0,195.0,1,342.5
1,1980,oly,M,2.0,Joachim Kunz,GDR,A,67.3,145.0,-150.0,-150.0,145.0,3,185.0,190.0,-195.0,190.0,2,335.0
2,1980,oly,M,3.0,Mincho Pashov,BUL,A,67.1,135.0,140.0,142.5,142.5,5,177.5,182.5,-190.0,182.5,3,325.0
3,1980,oly,M,4.0,Daniel Senet,FRA,A,67.3,140.0,145.0,147.5,147.5,1,170.0,175.0,-180.0,175.0,6,322.5
4,1980,oly,M,5.0,GÃ¼nter AmbraÃŸ,GDR,A,66.85,-135.0,135.0,140.0,140.0,6,175.0,180.0,-185.0,180.0,4,320.0
5,1980,oly,M,6.0,Zbigniew Kaczmarek,POL,A,67.15,135.0,140.0,-142.5,140.0,6,-177.5,177.5,-182.5,177.5,5,317.5
6,1980,oly,M,7.0,RaÃºl GonzÃ¡lez,CUB,A,67.25,140.0,145.0,-147.5,145.0,3,172.5,-177.5,-177.5,172.5,7,317.5
7,1980,oly,M,8.0,Virgil Dociu,ROU,A,67.1,135.0,140.0,-142.5,140.0,6,-170.0,170.0,-175.0,170.0,8,310.0
8,1980,oly,M,9.0,DuÅ¡an DrÅ¡ka,TCH,A,67.0,-130.0,130.0,0.0,130.0,9,160.0,-175.0,-175.0,160.0,9,290.0
9,1980,oly,M,10.0,Juhani Salakka,FIN,A,66.65,125.0,-130.0,130.0,130.0,9,152.5,-157.5,-157.5,152.5,14,282.5
10,1980,oly,M,11.0,Basilios Stellios,AUS,A,67.35,-122.5,122.5,-127.5,122.5,13,155.0,160.0,-165.0,160.0,9,282.5
11,1980,oly,M,12.0,Nicolas Lasorsa,FRA,A,67.0,125.0,-130.0,-130.0,125.0,11,-155.0,155.0,-160.0,155.0,12,280.0
12,1980,oly,M,13.0,Li Gwang-Ju,PRK,A,67.35,125.0,-130.0,-130.0,125.0,11,-155.0,155.0,-157.5,155.0,12,280.0
13,1980,oly,M,14.0,Leo Isaac,GBR,A,67.5,117.5,-122.5,-122.5,117.5,17,157.5,-165.0,-165.0,157.5,11,275.0
14,1980,oly,M,15.0,Pavlos Lespouridis,GRE,A,66.8,120.0,-125.0,-125.0,120.0,14,-145.0,145.0,150.0,150.0,15,270.0
15,1980,oly,M,16.0,Walter Legel,AUT,A,66.95,120.0,-125.0,-125.0,120.0,14,150.0,-155.0,-155.0,150.0,15,270.0
16,1980,oly,M,17.0,Mohammed Yaseen Mohammed,IRQ,A,67.4,120.0,-125.0,-125.0,120.0,14,145.0,-155.0,-155.0,145.0,18,270.0
17,1980,oly,M,18.0,Alan Winterbourne,GBR,A,67.35,-117.5,-117.5,117.5,117.5,17,150.0,-160.0,-160.0,150.0,15,267.5
18,1980,oly,M,19.0,AndrÃ©s Santoyo,MEX,A,59.6,-115.0,115.0,-120.0,115.0,19,145.0,-155.0,-155.0,145.0,18,260.0
19,1980,oly,M,20.0,Sergio De Luca,SMR,A,56.0,105.0,110.0,-112.5,110.0,20,137.5,142.5,145.0,145.0,18,255.0
0,1980,oly,M,1.0,Asen Zlatev,BUL,A,74.65,155.0,160.0,-162.5,160.0,1,190.0,200.0,-205.0,200.0,1,360.0
1,1980,oly,M,2.0,Aleksandr Pervi,URS,A,74.2,152.5,-157.5,157.5,157.5,2,190.0,200.0,-205.0,200.0,1,357.5
2,1980,oly,M,3.0,Nedelcho Kolev,BUL,A,73.9,152.5,157.5,-162.5,157.5,2,187.5,-195.0,-197.5,187.5,3,345.0
3,1980,oly,M,4.0,Julio Echenique,CUB,A,73.35,145.0,-150.0,-150.0,145.0,5,182.5,-187.5,-187.5,182.5,4,327.5
4,1980,oly,M,5.0,Dragomir Ciorolan,ROU,A,74.65,140.0,-145.0,-145.0,140.0,7,182.5,-190.0,-190.0,182.5,4,322.5
5,1980,oly,M,6.0,Tapio Kinnunen,FIN,A,74.1,142.5,-147.5,-147.5,142.5,6,172.5,177.5,-180.0,177.5,6,320.0
6,1980,oly,M,7.0,Bertil Sollevi,SWE,A,74.75,130.0,135.0,137.5,137.5,8,172.5,-177.5,-177.5,172.5,7,310.0
7,1980,oly,M,8.0,Newton Burrowes,GBR,A,74.85,130.0,-135.0,-135.0,130.0,10,167.5,-172.5,172.5,172.5,7,302.5
8,1980,oly,M,9.0,Rogelio Weatherbee,MEX,A,74.85,130.0,-135.0,135.0,135.0,9,160.0,165.0,-170.0,165.0,9,300.0
9,1980,oly,M,10.0,Vincenzo Pedicone,ITA,A,73.7,-130.0,130.0,-135.0,130.0,10,160.0,165.0,-167.5,165.0,9,295.0
10,1980,oly,M,11.0,Kevin Kennedy,GBR,A,74.0,130.0,-140.0,-140.0,130.0,10,160.0,-165.0,-165.0,160.0,12,295.0
11,1980,oly,M,12.0,DuÅ¡an MirkoviÄ‡,YUG,A,74.45,127.5,-132.5,-132.5,127.5,13,162.5,-170.0,-170.0,162.5,11,290.0
12,1980,oly,M,13.0,DamdinsÃ¼rengiin Boldbayar,MGL,A,73.9,-127.5,-127.5,127.5,127.5,13,155.0,-162.5,-162.5,155.0,13,282.5
13,1980,oly,M,14.0,Sampson Cosmas,NGR,A,74.8,110.0,115.0,-117.5,115.0,15,-140.0,140.0,-145.0,140.0,14,255.0
14,1980,oly,M,0.0,GÃ¼nter Schliwka,GDR,A,73.5,145.0,-150.0,150.0,150.0,4,-187.5,-187.5,-187.5,-187.5,16,0.0
15,1980,oly,M,0.0,Mohamed Tarabulsi,LIB,A,74.75,-142.5,-142.5,-142.5,-142.5,16,0.0,0.0,0.0,0.0,15,0.0
0,1980,oly,M,1.0,Yurik Vardanyan,URS,A,81.7,165.0,172.5,177.5,177.5,1,205.0,215.5,222.5,222.5,1,400.0
1,1980,oly,M,2.0,Blagoy Blagoev,BUL,A,81.6,165.0,170.0,175.0,175.0,2,192.5,197.5,0.0,197.5,5,372.5
2,1980,oly,M,3.0,DuÅ¡an PoliaÄ�ik,TCH,A,82.0,155.0,-160.0,160.0,160.0,3,200.0,205.0,207.5,207.5,2,367.5
3,1980,oly,M,4.0,Jan Lisowski,POL,A,81.85,150.0,-155.0,-155.0,150.0,8,197.5,205.0,-210.0,205.0,3,355.0
4,1980,oly,M,5.0,Krasimir Drandarov,BUL,A,81.95,150.0,-155.0,155.0,155.0,4,200.0,-205.0,-212.5,200.0,4,355.0
5,1980,oly,M,6.0,PaweÅ‚ Rabczewski,POL,A,82.3,155.0,-160.0,-160.0,155.0,4,-195.0,195.0,-202.5,195.0,6,350.0
6,1980,oly,M,7.0,Detlef Blasche,GDR,A,80.95,-152.5,152.5,-157.5,152.5,7,192.5,-197.5,-197.5,192.5,7,345.0
7,1980,oly,M,8.0,Juhani Avellan,FIN,A,82.35,150.0,-155.0,0.0,150.0,8,-182.5,182.5,-190.0,182.5,10,332.5
8,1980,oly,M,9.0,Vladimir ZrniÄ‡,YUG,A,82.3,137.5,-142.5,142.5,142.5,12,180.0,-187.5,187.5,187.5,8,330.0
9,1980,oly,M,10.0,Stefan Jonsson,SWE,A,82.35,137.5,-142.5,142.5,142.5,12,180.0,185.0,-187.5,185.0,9,327.5
10,1980,oly,M,11.0,Talal Hassoun Abdul Kader,IRQ,A,81.55,137.5,142.5,145.0,145.0,11,177.5,-182.5,-182.5,177.5,11,322.5
11,1980,oly,M,12.0,Erling Johansen,DEN,A,81.4,142.5,147.5,-150.0,147.5,10,170.0,-175.0,-175.0,170.0,13,317.5
12,1980,oly,M,13.0,Stephen Pinsent,GBR,A,79.5,-135.0,135.0,-140.0,135.0,15,170.0,-175.0,-175.0,170.0,13,305.0
13,1980,oly,M,14.0,Salem Ajjoub,SYR,A,82.5,127.5,-132.5,-132.5,127.5,16,170.0,175.0,-177.5,175.0,12,302.5
14,1980,oly,M,0.0,Petre Dumitru,ROM,A,81.9,155.0,-160.0,-160.0,155.0,4,-190.0,-190.0,-190.0,-190.0,19,0.0
15,1980,oly,M,0.0,Robert Kabbas,AUS,A,81.6,142.5,-147.5,-147.5,142.5,12,-182.5,-182.5,-182.5,-182.5,18,0.0
16,1980,oly,M,0.0,Ãžorsteinn Leifsson,ISL,A,82.4,125.0,-130.0,-130.0,125.0,17,-160.0,-160.0,-160.0,-160.0,17,0.0
17,1980,oly,M,0.0,Bertalan MandzÃ¡k,HUN,A,81.8,-155.0,-155.0,-155.0,-155.0,19,0.0,0.0,0.0,0.0,15,0.0
18,1980,oly,M,0.0,Serge Van Cottom,BEL,A,81.55,-132.5,-132.5,-132.5,-132.5,18,0.0,0.0,0.0,0.0,15,0.0
0,1980,oly,M,1.0,PÃ©ter BaczakÃ³,HUN,A,89.1,162.5,167.5,170.0,170.0,1,202.5,207.5,-210.0,207.5,1,377.5
1,1980,oly,M,2.0,Rumen Aleksandrov,BUL,A,89.4,-165.0,165.0,170.0,170.0,1,205.0,-210.0,-210.0,205.0,2,375.0
2,1980,oly,M,3.0,Frank Mantek,GDR,A,88.75,160.0,165.0,-167.5,165.0,3,200.0,-205.0,205.0,205.0,2,370.0
3,1980,oly,M,4.0,Dalibor Å˜ehÃ¡k,TCH,A,89.5,165.0,-170.0,-170.0,165.0,3,195.0,-200.0,200.0,200.0,4,365.0
4,1980,oly,M,5.0,Witold Walo,POL,A,88.3,-160.0,160.0,-165.0,160.0,6,200.0,-205.0,-205.0,200.0,4,360.0
5,1980,oly,M,6.0,LubomÃ­r SrÅ¡eÅˆ,TCH,A,89.4,-160.0,160.0,-165.0,160.0,6,197.5,-207.5,-207.5,197.5,6,357.5
6,1980,oly,M,7.0,Vasile GroapÄƒ,ROU,A,89.25,-155.0,-155.0,160.0,160.0,6,195.0,-200.0,-200.0,195.0,7,355.0
7,1980,oly,M,8.0,Nikos Iliadis,GRE,A,88.2,-150.0,150.0,-155.0,150.0,9,180.0,190.0,195.0,195.0,7,345.0
8,1980,oly,M,9.0,Gary Langford,GBR,A,89.05,150.0,-157.5,-157.5,150.0,9,-180.0,180.0,-192.5,180.0,9,330.0
9,1980,oly,M,10.0,Norberto Oberburger,ITA,A,89.3,-147.5,147.5,-152.5,147.5,11,167.5,-172.5,-172.5,167.5,11,315.0
10,1980,oly,M,11.0,Luis Rosito,GUA,A,88.15,-132.5,132.5,-137.5,132.5,15,-170.0,175.0,-182.5,175.0,10,307.5
11,1980,oly,M,12.0,VÃ­ctor Ruiz,MEX,A,85.0,135.0,-140.0,-140.0,135.0,13,-165.0,165.0,-172.5,165.0,12,300.0
12,1980,oly,M,13.0,GuÃ°mundur Helgason,ISL,A,86.25,-135.0,135.0,-140.0,135.0,13,160.0,-165.0,-165.0,160.0,13,295.0
13,1980,oly,M,0.0,Ferenc Antalovics,HUN,A,89.35,157.5,162.5,165.0,165.0,3,-197.5,-197.5,-197.5,-197.5,18,0.0
14,1980,oly,M,0.0,Luigi Fratangelo,AUS,A,89.3,137.5,-142.5,142.5,142.5,12,-172.5,-172.5,-172.5,-172.5,17,0.0
15,1980,oly,M,0.0,David Rigert,URS,A,89.1,-170.0,-170.0,-170.0,-170.0,18,0.0,0.0,0.0,0.0,14,0.0
16,1980,oly,M,0.0,Hugo De Grauwe,BEL,A,89.6,-140.0,-140.0,-140.0,-140.0,17,0.0,0.0,0.0,0.0,14,0.0
17,1980,oly,M,0.0,Sann Myint,MYA,A,89.7,-125.0,-125.0,-125.0,-125.0,16,0.0,0.0,0.0,0.0,14,0.0
0,1984,oly,M,1.0,Zeng Guoqiang,CHN),A,51.7,-100.0,100.0,105.0,105.0,3,130.0,-135.0,-135.0,130.0,1,235.0
